Convergiu,Fitnes Medio,Iteração,Soluçoes
1.0,0.16139682539682526,63.0,1.0
1.0,0.17815873015872996,75.0,1.0
1.0,0.15073015873015855,70.0,1.0
1.0,0.13444022644022635,24.0,1.0
1.0,0.15702164502164492,41.0,1.0
1.0,0.14907936507936484,66.0,1.0
1.0,0.13498146298146296,18.0,1.0
1.0,0.16273015873015853,43.0,1.0
1.0,0.1286247086247086,19.0,1.0
1.0,0.18285714285714263,123.0,1.0
1.0,0.18209523809523784,124.0,1.0
1.0,0.1698803418803417,95.0,1.0
1.0,0.12907492507492496,10.0,1.0
1.0,0.13425108225108215,37.0,1.0
1.0,0.16742857142857123,124.0,1.0
1.0,0.16126984126984112,67.0,1.0
1.0,0.16469841269841243,59.0,1.0
1.0,0.2253333333333331,297.0,1.0
1.0,0.1566291486291485,35.0,1.0
1.0,0.23809523809523778,289.0,1.0
1.0,0.1709206349206347,80.0,1.0
1.0,0.11952580752580742,12.0,1.0
1.0,0.1288502608502608,31.0,1.0
1.0,0.17174603174603148,88.0,1.0
1.0,0.10937684537684532,8.0,1.0
1.0,0.1829206349206347,83.0,1.0
1.0,0.17130158730158712,69.0,1.0
1.0,0.19129004329004298,164.0,1.0
1.0,0.1587936507936506,57.0,1.0
1.0,0.12629770229770224,24.0,1.0
0.0,0.14501305319976188,9999.0,51.0
0.0,0.17499905834432677,99999.0,92.0
0.0,0.15871547418296636,1000000.0,92.0
0.0,0.1351565570936145,10000.0,45.0
0.0,0.16422932444232746,100000.0,92.0
0.0,0.12682378417362927,10000.0,47.0
0.0,0.15947463338175402,100000.0,91.0
1.0,0.14854733845445903,8435.0,92.0
1.0,0.13666615324819648,8519.0,100.0
0.0,0.15454947630852856,10000.0,91.0
0.0,0.15005005416204764,10000.0,85.0
1.0,0.14570572216554178,9559.0,100.0
1.0,0.10497053201804839,0.0,0.0
1.0,0.14707070707070696,54.0,1.0
1.0,0.17624242424242406,62.0,1.0
1.0,0.16051948051948045,42.0,1.0
1.0,0.13944011544011534,36.0,1.0
